Frame         Time          Elec          VdW           Nonbond       Total         
506           506           +0            -356.951      -356.951      -356.951      
507           507           +0            -338.04       -338.04       -338.04       
508           508           +0            -320.389      -320.389      -320.389      
509           509           +0            -355.374      -355.374      -355.374      
510           510           +0            -348.533      -348.533      -348.533      
511           511           +0            -332.29       -332.29       -332.29       
512           512           +0            -334.426      -334.426      -334.426      
513           513           +0            -361.389      -361.389      -361.389      
514           514           +0            -344.997      -344.997      -344.997      
515           515           +0            -328.971      -328.971      -328.971      
516           516           +0            -353.514      -353.514      -353.514      
517           517           +0            -348.098      -348.098      -348.098      
518           518           +0            -339.688      -339.688      -339.688      
519           519           +0            -311.259      -311.259      -311.259      
520           520           +0            -331.416      -331.416      -331.416      
521           521           +0            -331.349      -331.349      -331.349      
522           522           +0            -349.044      -349.044      -349.044      
523           523           +0            -338.907      -338.907      -338.907      
524           524           +0            -343.304      -343.304      -343.304      
525           525           +0            -322.554      -322.554      -322.554      
526           526           +0            -332.728      -332.728      -332.728      
527           527           +0            -339.12       -339.12       -339.12       
528           528           +0            -335.155      -335.155      -335.155      
529           529           +0            -344.97       -344.97       -344.97       
530           530           +0            -340.144      -340.144      -340.144      
531           531           +0            -352.807      -352.807      -352.807      
532           532           +0            -337.204      -337.204      -337.204      
533           533           +0            -345.758      -345.758      -345.758      
534           534           +0            -312.625      -312.625      -312.625      
535           535           +0            -346.655      -346.655      -346.655      
536           536           +0            -338.493      -338.493      -338.493      
537           537           +0            -322.805      -322.805      -322.805      
538           538           +0            -315.212      -315.212      -315.212      
539           539           +0            -345.456      -345.456      -345.456      
540           540           +0            -340.516      -340.516      -340.516      
541           541           +0            -344.068      -344.068      -344.068      
542           542           +0            -346.516      -346.516      -346.516      
543           543           +0            -343.885      -343.885      -343.885      
544           544           +0            -338.374      -338.374      -338.374      
545           545           +0            -314.766      -314.766      -314.766      
546           546           +0            -350.923      -350.923      -350.923      
547           547           +0            -337.173      -337.173      -337.173      
548           548           +0            -336.84       -336.84       -336.84       
549           549           +0            -341.601      -341.601      -341.601      
550           550           +0            -339.815      -339.815      -339.815      
551           551           +0            -354.368      -354.368      -354.368      
552           552           +0            -342.986      -342.986      -342.986      
553           553           +0            -347.514      -347.514      -347.514      
554           554           +0            -330.138      -330.138      -330.138      
555           555           +0            -340.645      -340.645      -340.645      
556           556           +0            -348.78       -348.78       -348.78       
557           557           +0            -352.502      -352.502      -352.502      
558           558           +0            -346.648      -346.648      -346.648      
559           559           +0            -328.202      -328.202      -328.202      
560           560           +0            -349.764      -349.764      -349.764      
561           561           +0            -339.246      -339.246      -339.246      
562           562           +0            -319.472      -319.472      -319.472      
563           563           +0            -340.592      -340.592      -340.592      
