Frame         Time          Elec          VdW           Nonbond       Total         
317           317           +0            -342.718      -342.718      -342.718      
318           318           +0            -323.654      -323.654      -323.654      
319           319           +0            -330.599      -330.599      -330.599      
320           320           +0            -340.732      -340.732      -340.732      
321           321           +0            -356.315      -356.315      -356.315      
322           322           +0            -334.929      -334.929      -334.929      
323           323           +0            -341.162      -341.162      -341.162      
324           324           +0            -316.574      -316.574      -316.574      
325           325           +0            -328.661      -328.661      -328.661      
326           326           +0            -335.435      -335.435      -335.435      
327           327           +0            -330.623      -330.623      -330.623      
328           328           +0            -320.644      -320.644      -320.644      
329           329           +0            -316.854      -316.854      -316.854      
330           330           +0            -336.683      -336.683      -336.683      
331           331           +0            -338.595      -338.595      -338.595      
332           332           +0            -318.311      -318.311      -318.311      
333           333           +0            -321.264      -321.264      -321.264      
334           334           +0            -340.875      -340.875      -340.875      
335           335           +0            -343.03       -343.03       -343.03       
336           336           +0            -347.784      -347.784      -347.784      
337           337           +0            -337.005      -337.005      -337.005      
338           338           +0            -356.371      -356.371      -356.371      
339           339           +0            -336.842      -336.842      -336.842      
340           340           +0            -326.03       -326.03       -326.03       
341           341           +0            -306.892      -306.892      -306.892      
342           342           +0            -343.164      -343.164      -343.164      
343           343           +0            -337.505      -337.505      -337.505      
344           344           +0            -308.307      -308.307      -308.307      
345           345           +0            -341.617      -341.617      -341.617      
346           346           +0            -301.687      -301.687      -301.687      
347           347           +0            -335.156      -335.156      -335.156      
348           348           +0            -299.128      -299.128      -299.128      
349           349           +0            -310.913      -310.913      -310.913      
350           350           +0            -340.233      -340.233      -340.233      
351           351           +0            -323.025      -323.025      -323.025      
352           352           +0            -340.555      -340.555      -340.555      
353           353           +0            -324.439      -324.439      -324.439      
354           354           +0            -334.043      -334.043      -334.043      
355           355           +0            -342.168      -342.168      -342.168      
356           356           +0            -315.265      -315.265      -315.265      
357           357           +0            -332.39       -332.39       -332.39       
358           358           +0            -332.495      -332.495      -332.495      
359           359           +0            -335.714      -335.714      -335.714      
360           360           +0            -327.579      -327.579      -327.579      
361           361           +0            -311.654      -311.654      -311.654      
362           362           +0            -333.735      -333.735      -333.735      
363           363           +0            -335.86       -335.86       -335.86       
364           364           +0            -321.849      -321.849      -321.849      
365           365           +0            -342.129      -342.129      -342.129      
366           366           +0            -334.495      -334.495      -334.495      
367           367           +0            -342.471      -342.471      -342.471      
368           368           +0            -330.565      -330.565      -330.565      
369           369           +0            -323.616      -323.616      -323.616      
370           370           +0            -335.688      -335.688      -335.688      
371           371           +0            -316.142      -316.142      -316.142      
372           372           +0            -337.159      -337.159      -337.159      
373           373           +0            -317.067      -317.067      -317.067      
374           374           +0            -317.899      -317.899      -317.899      
375           375           +0            -348.255      -348.255      -348.255      
376           376           +0            -303.805      -303.805      -303.805      
377           377           +0            -346.661      -346.661      -346.661      
378           378           +0            -322.531      -322.531      -322.531      
379           379           +0            -339.974      -339.974      -339.974      
380           380           +0            -335.777      -335.777      -335.777      
381           381           +0            -311.107      -311.107      -311.107      
382           382           +0            -328.309      -328.309      -328.309      
383           383           +0            -335.27       -335.27       -335.27       
384           384           +0            -339.708      -339.708      -339.708      
385           385           +0            -345.606      -345.606      -345.606      
386           386           +0            -343.879      -343.879      -343.879      
387           387           +0            -352.486      -352.486      -352.486      
388           388           +0            -316.85       -316.85       -316.85       
389           389           +0            -324.083      -324.083      -324.083      
390           390           +0            -336.543      -336.543      -336.543      
391           391           +0            -339.232      -339.232      -339.232      
392           392           +0            -311.196      -311.196      -311.196      
393           393           +0            -330.589      -330.589      -330.589      
394           394           +0            -344.474      -344.474      -344.474      
395           395           +0            -326.029      -326.029      -326.029      
396           396           +0            -337.597      -337.597      -337.597      
397           397           +0            -343.169      -343.169      -343.169      
398           398           +0            -326.307      -326.307      -326.307      
399           399           +0            -328.789      -328.789      -328.789      
400           400           +0            -308.591      -308.591      -308.591      
401           401           +0            -346.731      -346.731      -346.731      
402           402           +0            -340.512      -340.512      -340.512      
403           403           +0            -332.751      -332.751      -332.751      
404           404           +0            -342.954      -342.954      -342.954      
405           405           +0            -303.796      -303.796      -303.796      
406           406           +0            -314.081      -314.081      -314.081      
407           407           +0            -330.878      -330.878      -330.878      
408           408           +0            -315.171      -315.171      -315.171      
409           409           +0            -333.834      -333.834      -333.834      
410           410           +0            -318.273      -318.273      -318.273      
411           411           +0            -337.566      -337.566      -337.566      
412           412           +0            -318.635      -318.635      -318.635      
413           413           +0            -326.705      -326.705      -326.705      
414           414           +0            -333.646      -333.646      -333.646      
415           415           +0            -332.618      -332.618      -332.618      
416           416           +0            -328.414      -328.414      -328.414      
417           417           +0            -339.38       -339.38       -339.38       
418           418           +0            -341.113      -341.113      -341.113      
419           419           +0            -355.594      -355.594      -355.594      
420           420           +0            -334.652      -334.652      -334.652      
421           421           +0            -342.654      -342.654      -342.654      
422           422           +0            -345.133      -345.133      -345.133      
423           423           +0            -330.788      -330.788      -330.788      
424           424           +0            -319.802      -319.802      -319.802      
425           425           +0            -318.498      -318.498      -318.498      
426           426           +0            -306.627      -306.627      -306.627      
427           427           +0            -326.432      -326.432      -326.432      
